date,ticker,direction,alpha_name
2015-01-06,EEM,-1,alpha_trend_ema
2015-01-06,GLD,1,alpha_trend_ema
2015-01-06,HYG,-1,alpha_trend_ema
2015-01-06,IWM,-1,alpha_trend_ema
2015-01-06,QQQ,-1,alpha_trend_ema
2015-01-06,SLV,1,alpha_trend_ema
2015-01-06,SPY,-1,alpha_trend_ema
2015-01-06,TLT,1,alpha_trend_ema
2015-01-06,USO,-1,alpha_trend_ema
2015-01-06,UUP,1,alpha_trend_ema
2015-01-06,VNQ,1,alpha_trend_ema
2015-01-06,XLE,-1,alpha_trend_ema
2015-01-06,XLF,-1,alpha_trend_ema
2015-01-07,EEM,-1,alpha_trend_ema
2015-01-07,GLD,1,alpha_trend_ema
2015-01-07,HYG,-1,alpha_trend_ema
2015-01-07,IWM,-1,alpha_trend_ema
2015-01-07,QQQ,-1,alpha_trend_ema
2015-01-07,SLV,1,alpha_trend_ema
2015-01-07,SPY,-1,alpha_trend_ema
2015-01-07,TLT,1,alpha_trend_ema
2015-01-07,USO,-1,alpha_trend_ema
2015-01-07,UUP,1,alpha_trend_ema
2015-01-07,VNQ,1,alpha_trend_ema
2015-01-07,XLE,-1,alpha_trend_ema
2015-01-07,XLF,-1,alpha_trend_ema
2015-01-08,EEM,-1,alpha_trend_ema
2015-01-08,GLD,1,alpha_trend_ema
2015-01-08,HYG,-1,alpha_trend_ema
2015-01-08,IWM,-1,alpha_trend_ema
2015-01-08,QQQ,-1,alpha_trend_ema
2015-01-08,SLV,1,alpha_trend_ema
2015-01-08,SPY,-1,alpha_trend_ema
2015-01-08,TLT,1,alpha_trend_ema
2015-01-08,USO,-1,alpha_trend_ema
2015-01-08,UUP,1,alpha_trend_ema
2015-01-08,VNQ,1,alpha_trend_ema
2015-01-08,XLE,-1,alpha_trend_ema
2015-01-08,XLF,-1,alpha_trend_ema
2015-01-09,EEM,-1,alpha_trend_ema
2015-01-09,GLD,1,alpha_trend_ema
2015-01-09,HYG,-1,alpha_trend_ema
2015-01-09,IWM,-1,alpha_trend_ema
2015-01-09,QQQ,-1,alpha_trend_ema
2015-01-09,SLV,1,alpha_trend_ema
2015-01-09,SPY,-1,alpha_trend_ema
2015-01-09,TLT,1,alpha_trend_ema
2015-01-09,USO,-1,alpha_trend_ema
2015-01-09,UUP,1,alpha_trend_ema
2015-01-09,VNQ,1,alpha_trend_ema
2015-01-09,XLE,-1,alpha_trend_ema
2015-01-09,XLF,-1,alpha_trend_ema
2015-01-12,EEM,-1,alpha_trend_ema
2015-01-12,GLD,1,alpha_trend_ema
2015-01-12,HYG,-1,alpha_trend_ema
2015-01-12,IWM,-1,alpha_trend_ema
2015-01-12,QQQ,-1,alpha_trend_ema
2015-01-12,SLV,1,alpha_trend_ema
2015-01-12,SPY,-1,alpha_trend_ema
2015-01-12,TLT,1,alpha_trend_ema
2015-01-12,USO,-1,alpha_trend_ema
2015-01-12,UUP,1,alpha_trend_ema
2015-01-12,VNQ,1,alpha_trend_ema
2015-01-12,XLE,-1,alpha_trend_ema
2015-01-12,XLF,-1,alpha_trend_ema
2015-01-13,EEM,-1,alpha_trend_ema
2015-01-13,GLD,1,alpha_trend_ema
2015-01-13,HYG,-1,alpha_trend_ema
2015-01-13,IWM,-1,alpha_trend_ema
2015-01-13,QQQ,-1,alpha_trend_ema
2015-01-13,SLV,1,alpha_trend_ema
2015-01-13,SPY,-1,alpha_trend_ema
2015-01-13,TLT,1,alpha_trend_ema
2015-01-13,USO,-1,alpha_trend_ema
2015-01-13,UUP,1,alpha_trend_ema
2015-01-13,VNQ,1,alpha_trend_ema
2015-01-13,XLE,-1,alpha_trend_ema
2015-01-13,XLF,-1,alpha_trend_ema
2015-01-14,EEM,1,alpha_trend_ema
2015-01-14,GLD,1,alpha_trend_ema
2015-01-14,HYG,-1,alpha_trend_ema
2015-01-14,IWM,-1,alpha_trend_ema
2015-01-14,QQQ,-1,alpha_trend_ema
2015-01-14,SLV,1,alpha_trend_ema
2015-01-14,SPY,-1,alpha_trend_ema
2015-01-14,TLT,1,alpha_trend_ema
2015-01-14,USO,-1,alpha_trend_ema
2015-01-14,UUP,1,alpha_trend_ema
2015-01-14,VNQ,1,alpha_trend_ema
2015-01-14,XLE,-1,alpha_trend_ema
2015-01-14,XLF,-1,alpha_trend_ema
2015-01-15,EEM,1,alpha_trend_ema
2015-01-15,GLD,1,alpha_trend_ema
2015-01-15,HYG,-1,alpha_trend_ema
2015-01-15,IWM,-1,alpha_trend_ema
2015-01-15,QQQ,-1,alpha_trend_ema
2015-01-15,SLV,1,alpha_trend_ema
2015-01-15,SPY,-1,alpha_trend_ema
2015-01-15,TLT,1,alpha_trend_ema
2015-01-15,USO,-1,alpha_trend_ema
2015-01-15,UUP,1,alpha_trend_ema
2015-01-15,VNQ,1,alpha_trend_ema
2015-01-15,XLE,-1,alpha_trend_ema
2015-01-15,XLF,-1,alpha_trend_ema
2015-01-16,EEM,1,alpha_trend_ema
2015-01-16,GLD,1,alpha_trend_ema
2015-01-16,HYG,-1,alpha_trend_ema
2015-01-16,IWM,-1,alpha_trend_ema
2015-01-16,QQQ,-1,alpha_trend_ema
2015-01-16,SLV,1,alpha_trend_ema
2015-01-16,SPY,-1,alpha_trend_ema
2015-01-16,TLT,1,alpha_trend_ema
2015-01-16,USO,-1,alpha_trend_ema
2015-01-16,UUP,1,alpha_trend_ema
2015-01-16,VNQ,1,alpha_trend_ema
2015-01-16,XLE,-1,alpha_trend_ema
2015-01-16,XLF,-1,alpha_trend_ema
2015-01-20,EEM,1,alpha_trend_ema
2015-01-20,GLD,1,alpha_trend_ema
2015-01-20,HYG,-1,alpha_trend_ema
2015-01-20,IWM,-1,alpha_trend_ema
2015-01-20,QQQ,-1,alpha_trend_ema
2015-01-20,SLV,1,alpha_trend_ema
2015-01-20,SPY,-1,alpha_trend_ema
2015-01-20,TLT,1,alpha_trend_ema
2015-01-20,USO,-1,alpha_trend_ema
2015-01-20,UUP,1,alpha_trend_ema
2015-01-20,VNQ,1,alpha_trend_ema
2015-01-20,XLE,-1,alpha_trend_ema
2015-01-20,XLF,-1,alpha_trend_ema
2015-01-21,EEM,1,alpha_trend_ema
2015-01-21,GLD,1,alpha_trend_ema
2015-01-21,HYG,-1,alpha_trend_ema
2015-01-21,IWM,-1,alpha_trend_ema
2015-01-21,QQQ,-1,alpha_trend_ema
2015-01-21,SLV,1,alpha_trend_ema
2015-01-21,SPY,-1,alpha_trend_ema
2015-01-21,TLT,1,alpha_trend_ema
2015-01-21,USO,-1,alpha_trend_ema
2015-01-21,UUP,1,alpha_trend_ema
2015-01-21,VNQ,1,alpha_trend_ema
2015-01-21,XLE,-1,alpha_trend_ema
2015-01-21,XLF,-1,alpha_trend_ema
2015-01-22,EEM,1,alpha_trend_ema
2015-01-22,GLD,1,alpha_trend_ema
2015-01-22,HYG,-1,alpha_trend_ema
2015-01-22,IWM,-1,alpha_trend_ema
2015-01-22,QQQ,-1,alpha_trend_ema
2015-01-22,SLV,1,alpha_trend_ema
2015-01-22,SPY,-1,alpha_trend_ema
2015-01-22,TLT,1,alpha_trend_ema
2015-01-22,USO,-1,alpha_trend_ema
2015-01-22,UUP,1,alpha_trend_ema
2015-01-22,VNQ,1,alpha_trend_ema
2015-01-22,XLE,-1,alpha_trend_ema
2015-01-22,XLF,-1,alpha_trend_ema
2015-01-23,EEM,1,alpha_trend_ema
2015-01-23,GLD,1,alpha_trend_ema
2015-01-23,HYG,-1,alpha_trend_ema
2015-01-23,IWM,-1,alpha_trend_ema
2015-01-23,QQQ,-1,alpha_trend_ema
2015-01-23,SLV,1,alpha_trend_ema
2015-01-23,SPY,-1,alpha_trend_ema
2015-01-23,TLT,1,alpha_trend_ema
2015-01-23,USO,-1,alpha_trend_ema
2015-01-23,UUP,1,alpha_trend_ema
2015-01-23,VNQ,1,alpha_trend_ema
2015-01-23,XLE,-1,alpha_trend_ema
2015-01-23,XLF,-1,alpha_trend_ema
2015-01-26,EEM,1,alpha_trend_ema
2015-01-26,GLD,1,alpha_trend_ema
2015-01-26,HYG,1,alpha_trend_ema
2015-01-26,IWM,-1,alpha_trend_ema
2015-01-26,QQQ,-1,alpha_trend_ema
2015-01-26,SLV,1,alpha_trend_ema
2015-01-26,SPY,-1,alpha_trend_ema
2015-01-26,TLT,1,alpha_trend_ema
2015-01-26,USO,-1,alpha_trend_ema
2015-01-26,UUP,1,alpha_trend_ema
2015-01-26,VNQ,1,alpha_trend_ema
2015-01-26,XLE,-1,alpha_trend_ema
2015-01-26,XLF,-1,alpha_trend_ema
2015-01-27,EEM,1,alpha_trend_ema
2015-01-27,GLD,1,alpha_trend_ema
2015-01-27,HYG,1,alpha_trend_ema
2015-01-27,IWM,-1,alpha_trend_ema
2015-01-27,QQQ,-1,alpha_trend_ema
2015-01-27,SLV,1,alpha_trend_ema
2015-01-27,SPY,-1,alpha_trend_ema
2015-01-27,TLT,1,alpha_trend_ema
2015-01-27,USO,-1,alpha_trend_ema
2015-01-27,UUP,1,alpha_trend_ema
2015-01-27,VNQ,1,alpha_trend_ema
2015-01-27,XLE,-1,alpha_trend_ema
2015-01-27,XLF,-1,alpha_trend_ema
2015-01-28,EEM,1,alpha_trend_ema
2015-01-28,GLD,1,alpha_trend_ema
2015-01-28,HYG,1,alpha_trend_ema
2015-01-28,IWM,-1,alpha_trend_ema
2015-01-28,QQQ,-1,alpha_trend_ema
2015-01-28,SLV,1,alpha_trend_ema
2015-01-28,SPY,-1,alpha_trend_ema
2015-01-28,TLT,1,alpha_trend_ema
2015-01-28,USO,-1,alpha_trend_ema
2015-01-28,UUP,1,alpha_trend_ema
2015-01-28,VNQ,1,alpha_trend_ema
2015-01-28,XLE,-1,alpha_trend_ema
2015-01-28,XLF,-1,alpha_trend_ema
2015-01-29,EEM,1,alpha_trend_ema
2015-01-29,GLD,1,alpha_trend_ema
2015-01-29,HYG,1,alpha_trend_ema
2015-01-29,IWM,-1,alpha_trend_ema
2015-01-29,QQQ,-1,alpha_trend_ema
2015-01-29,SLV,1,alpha_trend_ema
2015-01-29,SPY,-1,alpha_trend_ema
2015-01-29,TLT,1,alpha_trend_ema
2015-01-29,USO,-1,alpha_trend_ema
2015-01-29,UUP,1,alpha_trend_ema
2015-01-29,VNQ,1,alpha_trend_ema
2015-01-29,XLE,-1,alpha_trend_ema
2015-01-29,XLF,-1,alpha_trend_ema
2015-01-30,EEM,1,alpha_trend_ema
2015-01-30,GLD,1,alpha_trend_ema
2015-01-30,HYG,1,alpha_trend_ema
2015-01-30,IWM,-1,alpha_trend_ema
2015-01-30,QQQ,-1,alpha_trend_ema
2015-01-30,SLV,1,alpha_trend_ema
2015-01-30,SPY,-1,alpha_trend_ema
2015-01-30,TLT,1,alpha_trend_ema
2015-01-30,USO,-1,alpha_trend_ema
2015-01-30,UUP,1,alpha_trend_ema
2015-01-30,VNQ,1,alpha_trend_ema
2015-01-30,XLE,-1,alpha_trend_ema
2015-01-30,XLF,-1,alpha_trend_ema
2015-02-02,EEM,1,alpha_trend_ema
2015-02-02,GLD,1,alpha_trend_ema
2015-02-02,HYG,1,alpha_trend_ema
2015-02-02,IWM,-1,alpha_trend_ema
2015-02-02,QQQ,-1,alpha_trend_ema
2015-02-02,SLV,1,alpha_trend_ema
2015-02-02,SPY,-1,alpha_trend_ema
2015-02-02,TLT,1,alpha_trend_ema
2015-02-02,USO,-1,alpha_trend_ema
2015-02-02,UUP,1,alpha_trend_ema
2015-02-02,VNQ,1,alpha_trend_ema
2015-02-02,XLE,-1,alpha_trend_ema
2015-02-02,XLF,-1,alpha_trend_ema
2015-02-03,EEM,1,alpha_trend_ema
2015-02-03,GLD,1,alpha_trend_ema
2015-02-03,HYG,1,alpha_trend_ema
2015-02-03,IWM,-1,alpha_trend_ema
2015-02-03,QQQ,-1,alpha_trend_ema
2015-02-03,SLV,1,alpha_trend_ema
2015-02-03,SPY,-1,alpha_trend_ema
2015-02-03,TLT,1,alpha_trend_ema
2015-02-03,USO,-1,alpha_trend_ema
2015-02-03,UUP,1,alpha_trend_ema
2015-02-03,VNQ,1,alpha_trend_ema
2015-02-03,XLE,-1,alpha_trend_ema
2015-02-03,XLF,-1,alpha_trend_ema
2015-02-04,EEM,1,alpha_trend_ema
2015-02-04,GLD,1,alpha_trend_ema
2015-02-04,HYG,1,alpha_trend_ema
2015-02-04,IWM,-1,alpha_trend_ema
2015-02-04,QQQ,-1,alpha_trend_ema
2015-02-04,SLV,1,alpha_trend_ema
2015-02-04,SPY,-1,alpha_trend_ema
2015-02-04,TLT,1,alpha_trend_ema
2015-02-04,USO,-1,alpha_trend_ema
2015-02-04,UUP,1,alpha_trend_ema
2015-02-04,VNQ,1,alpha_trend_ema
2015-02-04,XLE,-1,alpha_trend_ema
2015-02-04,XLF,-1,alpha_trend_ema
2015-02-05,EEM,1,alpha_trend_ema
2015-02-05,GLD,1,alpha_trend_ema
2015-02-05,HYG,1,alpha_trend_ema
2015-02-05,IWM,-1,alpha_trend_ema
2015-02-05,QQQ,-1,alpha_trend_ema
2015-02-05,SLV,1,alpha_trend_ema
2015-02-05,SPY,-1,alpha_trend_ema
2015-02-05,TLT,1,alpha_trend_ema
2015-02-05,USO,-1,alpha_trend_ema
2015-02-05,UUP,1,alpha_trend_ema
2015-02-05,VNQ,1,alpha_trend_ema
2015-02-05,XLE,-1,alpha_trend_ema
2015-02-05,XLF,-1,alpha_trend_ema
2015-02-06,EEM,1,alpha_trend_ema
2015-02-06,GLD,1,alpha_trend_ema
2015-02-06,HYG,1,alpha_trend_ema
2015-02-06,IWM,-1,alpha_trend_ema
2015-02-06,QQQ,-1,alpha_trend_ema
2015-02-06,SLV,1,alpha_trend_ema
2015-02-06,SPY,-1,alpha_trend_ema
2015-02-06,TLT,1,alpha_trend_ema
2015-02-06,USO,-1,alpha_trend_ema
2015-02-06,UUP,1,alpha_trend_ema
2015-02-06,VNQ,1,alpha_trend_ema
2015-02-06,XLE,-1,alpha_trend_ema
2015-02-06,XLF,-1,alpha_trend_ema
2015-02-09,EEM,1,alpha_trend_ema
2015-02-09,GLD,1,alpha_trend_ema
2015-02-09,HYG,1,alpha_trend_ema
2015-02-09,IWM,-1,alpha_trend_ema
2015-02-09,QQQ,-1,alpha_trend_ema
2015-02-09,SLV,1,alpha_trend_ema
2015-02-09,SPY,-1,alpha_trend_ema
2015-02-09,TLT,1,alpha_trend_ema
2015-02-09,USO,-1,alpha_trend_ema
2015-02-09,UUP,1,alpha_trend_ema
2015-02-09,VNQ,1,alpha_trend_ema
2015-02-09,XLE,-1,alpha_trend_ema
2015-02-09,XLF,-1,alpha_trend_ema
2015-02-10,EEM,1,alpha_trend_ema
2015-02-10,GLD,1,alpha_trend_ema
2015-02-10,HYG,1,alpha_trend_ema
2015-02-10,IWM,-1,alpha_trend_ema
2015-02-10,QQQ,-1,alpha_trend_ema
2015-02-10,SLV,1,alpha_trend_ema
2015-02-10,SPY,-1,alpha_trend_ema
2015-02-10,TLT,1,alpha_trend_ema
